Arquivo: 04_queries.sql
Executado em UTC: 2026-09-05T00:29:26.869875+00:00
Servidor: PostgreSQL 18.3 (PGlite 0.5.8) on wasm32-unknown-emscripten, compiled by emcc (Emscripten gcc/clang-like replacement + linker emulating GNU ld) 3.1.74 (1092ec30a3fb1d46b1782ff1b4db5094d3d06ae5), 32-bit
SET
month | channel | orders | revenue | margin | average_ticket
2024-12-01 | ECOMMERCE | 37 | 21962.65 | 8525.90 | 593.59
2024-12-01 | STORE | 58 | 30621.37 | 11817.12 | 527.95
2025-01-01 | ECOMMERCE | 59 | 35153.46 | 13752.96 | 595.82
2025-01-01 | STORE | 59 | 28833.20 | 10878.95 | 488.70
2025-02-01 | ECOMMERCE | 57 | 33357.81 | 12647.31 | 585.22
2025-02-01 | STORE | 74 | 39845.39 | 15354.14 | 538.45
2025-03-01 | ECOMMERCE | 92 | 56158.37 | 22018.62 | 610.42
2025-03-01 | STORE | 104 | 59388.48 | 22805.73 | 571.04
2025-04-01 | ECOMMERCE | 119 | 68813.05 | 26721.05 | 578.26
2025-04-01 | STORE | 105 | 56465.40 | 22139.40 | 537.77
2025-05-01 | ECOMMERCE | 127 | 80567.07 | 31508.82 | 634.39
2025-05-01 | STORE | 143 | 78048.35 | 30249.35 | 545.79
2025-06-01 | ECOMMERCE | 143 | 80756.85 | 31163.60 | 564.73
2025-06-01 | STORE | 160 | 96986.58 | 37584.83 | 606.17
2025-07-01 | ECOMMERCE | 190 | 104236.46 | 40312.71 | 548.61
2025-07-01 | STORE | 204 | 111927.80 | 43069.05 | 548.67
2025-08-01 | ECOMMERCE | 250 | 147933.45 | 56868.95 | 591.73
2025-08-01 | STORE | 296 | 166841.71 | 64156.46 | 563.65
2025-09-01 | ECOMMERCE | 334 | 190977.20 | 73743.95 | 571.79
2025-09-01 | STORE | 250 | 149499.56 | 58057.31 | 598.00
2025-10-01 | ECOMMERCE | 275 | 151604.04 | 58680.04 | 551.29
2025-10-01 | STORE | 253 | 137960.94 | 52567.94 | 545.30
2025-11-01 | ECOMMERCE | 332 | 184694.53 | 71321.03 | 556.31
2025-11-01 | STORE | 355 | 200833.14 | 77594.64 | 565.73
2025-12-01 | ECOMMERCE | 339 | 195825.35 | 75889.35 | 577.66
2025-12-01 | STORE | 315 | 179601.15 | 69255.15 | 570.16
(26 linhas)
month | revenue | previous_month_revenue | moving_average_3m
2024-12-01 | 52584.02 | NULL | 52584.02
2025-01-01 | 63986.66 | 52584.02 | 58285.34
2025-02-01 | 73203.20 | 63986.66 | 63257.96
2025-03-01 | 115546.85 | 73203.20 | 84245.57
2025-04-01 | 125278.45 | 115546.85 | 104676.17
2025-05-01 | 158615.42 | 125278.45 | 133146.91
2025-06-01 | 177743.43 | 158615.42 | 153879.10
2025-07-01 | 216164.26 | 177743.43 | 184174.37
2025-08-01 | 314775.16 | 216164.26 | 236227.62
2025-09-01 | 340476.76 | 314775.16 | 290472.06
2025-10-01 | 289564.98 | 340476.76 | 314938.97
2025-11-01 | 385527.67 | 289564.98 | 338523.14
2025-12-01 | 375426.50 | 385527.67 | 350173.05
(13 linhas)
cohort_month | month_number | retained_customers | cohort_customers | retention_rate
2025-12-23 | LOJA-SP-01 | ELETRÔNICOS | 8 | 3 | 0.3750
2025-12-24 | LOJA-SP-01 | ELETRÔNICOS | 8 | 3 | 0.3750
2025-12-22 | LOJA-SP-01 | ESPORTE | 8 | 3 | 0.3750
2025-12-24 | LOJA-SP-01 | ESPORTE | 8 | 3 | 0.3750
2025-12-21 | LOJA-SP-01 | ESPORTE | 8 | 3 | 0.3750
2025-12-24 | LOJA-SP-01 | MODA | 8 | 3 | 0.3750
2025-12-22 | LOJA-SP-02 | BELEZA | 8 | 3 | 0.3750
2025-12-23 | LOJA-SP-02 | CASA | 8 | 3 | 0.3750
2025-12-22 | LOJA-SP-02 | CASA | 8 | 3 | 0.3750
2025-12-24 | LOJA-SP-02 | ELETRÔNICOS | 8 | 3 | 0.3750
2025-12-22 | LOJA-SP-02 | ELETRÔNICOS | 8 | 3 | 0.3750
2025-12-25 | LOJA-SP-02 | ELETRÔNICOS | 8 | 3 | 0.3750
2025-12-23 | LOJA-SP-02 | ELETRÔNICOS | 8 | 3 | 0.3750
2025-12-19 | LOJA-SP-02 | ESPORTE | 8 | 3 | 0.3750
2025-12-22 | LOJA-SP-02 | ESPORTE | 8 | 3 | 0.3750
2025-12-20 | LOJA-SP-02 | ESPORTE | 8 | 3 | 0.3750
2025-12-21 | LOJA-SP-02 | ESPORTE | 8 | 3 | 0.3750
2025-12-24 | LOJA-SP-02 | ESPORTE | 8 | 3 | 0.3750
2025-12-23 | LOJA-SP-02 | ESPORTE | 8 | 3 | 0.3750
2025-12-22 | LOJA-SP-02 | MODA | 8 | 3 | 0.3750
2025-12-21 | LOJA-SP-02 | MODA | 8 | 3 | 0.3750
2025-12-18 | LOJA-MG-01 | BELEZA | 8 | 2 | 0.2500
2025-12-23 | LOJA-MG-01 | ESPORTE | 8 | 2 | 0.2500
2025-12-20 | LOJA-MG-01 | ESPORTE | 8 | 2 | 0.2500
2025-12-25 | LOJA-MG-01 | MODA | 8 | 2 | 0.2500
2025-12-22 | LOJA-PR-01 | BELEZA | 8 | 2 | 0.2500
2025-12-20 | LOJA-PR-01 | BELEZA | 8 | 2 | 0.2500
2025-12-25 | LOJA-PR-01 | CASA | 8 | 2 | 0.2500
2025-12-24 | LOJA-PR-01 | CASA | 8 | 2 | 0.2500
2025-12-26 | LOJA-PR-01 | CASA | 8 | 2 | 0.2500
2025-12-23 | LOJA-PR-01 | CASA | 8 | 2 | 0.2500
2025-12-22 | LOJA-PR-01 | CASA | 8 | 2 | 0.2500
2025-12-21 | LOJA-PR-01 | ELETRÔNICOS | 8 | 2 | 0.2500
2025-12-24 | LOJA-PR-01 | ELETRÔNICOS | 8 | 2 | 0.2500
2025-12-22 | LOJA-PR-01 | ELETRÔNICOS | 8 | 2 | 0.2500
2025-12-23 | LOJA-PR-01 | ELETRÔNICOS | 8 | 2 | 0.2500
2025-12-21 | LOJA-PR-01 | ESPORTE | 8 | 2 | 0.2500
2025-12-23 | LOJA-RJ-01 | BELEZA | 8 | 2 | 0.2500
2025-12-22 | LOJA-RJ-01 | CASA | 8 | 2 | 0.2500
2025-12-21 | LOJA-RJ-01 | CASA | 8 | 2 | 0.2500
2025-12-20 | LOJA-RJ-01 | ELETRÔNICOS | 8 | 2 | 0.2500
2025-12-19 | LOJA-RJ-01 | ELETRÔNICOS | 8 | 2 | 0.2500
2025-12-24 | LOJA-RJ-01 | ESPORTE | 8 | 2 | 0.2500
2025-12-23 | LOJA-RJ-01 | ESPORTE | 8 | 2 | 0.2500
2025-12-25 | LOJA-RJ-01 | ESPORTE | 8 | 2 | 0.2500
2025-12-20 | LOJA-RJ-01 | MODA | 8 | 2 | 0.2500
2025-12-23 | LOJA-SP-01 | BELEZA | 8 | 2 | 0.2500
2025-12-22 | LOJA-SP-01 | BELEZA | 8 | 2 | 0.2500
2025-12-25 | LOJA-SP-01 | BELEZA | 8 | 2 | 0.2500
2025-12-22 | LOJA-SP-01 | CASA | 8 | 2 | 0.2500
2025-12-21 | LOJA-SP-01 | CASA | 8 | 2 | 0.2500
2025-12-22 | LOJA-SP-01 | ELETRÔNICOS | 8 | 2 | 0.2500
2025-12-18 | LOJA-SP-01 | ESPORTE | 8 | 2 | 0.2500
2025-12-19 | LOJA-SP-01 | ESPORTE | 8 | 2 | 0.2500
2025-12-20 | LOJA-SP-01 | ESPORTE | 8 | 2 | 0.2500
2025-12-23 | LOJA-SP-01 | MODA | 8 | 2 | 0.2500
2025-12-23 | LOJA-SP-02 | BELEZA | 8 | 2 | 0.2500
2025-12-21 | LOJA-SP-02 | BELEZA | 8 | 2 | 0.2500
2025-12-21 | LOJA-SP-02 | CASA | 8 | 2 | 0.2500
2025-12-24 | LOJA-SP-02 | CASA | 8 | 2 | 0.2500
2025-12-21 | LOJA-SP-02 | ELETRÔNICOS | 8 | 2 | 0.2500
2025-12-19 | LOJA-MG-01 | ELETRÔNICOS | 8 | 1 | 0.1250
2025-12-22 | LOJA-MG-01 | ESPORTE | 8 | 1 | 0.1250
2025-12-22 | LOJA-MG-01 | MODA | 8 | 1 | 0.1250
2025-12-23 | LOJA-MG-01 | MODA | 8 | 1 | 0.1250
2025-12-24 | LOJA-MG-01 | MODA | 8 | 1 | 0.1250
2025-12-18 | LOJA-PR-01 | CASA | 8 | 1 | 0.1250
2025-12-21 | LOJA-PR-01 | CASA | 8 | 1 | 0.1250
2025-12-20 | LOJA-PR-01 | CASA | 8 | 1 | 0.1250
2025-12-19 | LOJA-PR-01 | CASA | 8 | 1 | 0.1250
2025-12-20 | LOJA-PR-01 | ELETRÔNICOS | 8 | 1 | 0.1250
2025-12-19 | LOJA-PR-01 | ESPORTE | 8 | 1 | 0.1250
2025-12-18 | LOJA-PR-01 | ESPORTE | 8 | 1 | 0.1250
2025-12-20 | LOJA-PR-01 | ESPORTE | 8 | 1 | 0.1250
2025-12-21 | LOJA-PR-01 | MODA | 8 | 1 | 0.1250
2025-12-22 | LOJA-RJ-01 | BELEZA | 8 | 1 | 0.1250
2025-12-19 | LOJA-RJ-01 | BELEZA | 8 | 1 | 0.1250
2025-12-21 | LOJA-RJ-01 | BELEZA | 8 | 1 | 0.1250
2025-12-20 | LOJA-RJ-01 | BELEZA | 8 | 1 | 0.1250
2025-12-18 | LOJA-RJ-01 | CASA | 8 | 1 | 0.1250
2025-12-19 | LOJA-RJ-01 | CASA | 8 | 1 | 0.1250
2025-12-18 | LOJA-RJ-01 | ELETRÔNICOS | 8 | 1 | 0.1250
2025-12-20 | LOJA-RJ-01 | ESPORTE | 8 | 1 | 0.1250
2025-12-21 | LOJA-RJ-01 | ESPORTE | 8 | 1 | 0.1250
2025-12-19 | LOJA-RJ-01 | ESPORTE | 8 | 1 | 0.1250
2025-12-22 | LOJA-RJ-01 | ESPORTE | 8 | 1 | 0.1250
2025-12-19 | LOJA-RJ-01 | MODA | 8 | 1 | 0.1250
2025-12-18 | LOJA-RJ-01 | MODA | 8 | 1 | 0.1250
2025-12-21 | LOJA-RJ-01 | MODA | 8 | 1 | 0.1250
2025-12-21 | LOJA-SP-01 | BELEZA | 8 | 1 | 0.1250
2025-12-20 | LOJA-SP-01 | BELEZA | 8 | 1 | 0.1250
2025-12-21 | LOJA-SP-01 | ELETRÔNICOS | 8 | 1 | 0.1250
2025-12-21 | LOJA-SP-01 | MODA | 8 | 1 | 0.1250
2025-12-20 | LOJA-SP-02 | BELEZA | 8 | 1 | 0.1250
2025-12-19 | LOJA-SP-02 | BELEZA | 8 | 1 | 0.1250
2025-12-19 | LOJA-SP-02 | CASA | 8 | 1 | 0.1250
2025-12-20 | LOJA-SP-02 | CASA | 8 | 1 | 0.1250
2025-12-20 | LOJA-SP-02 | ELETRÔNICOS | 8 | 1 | 0.1250
2025-12-18 | LOJA-SP-02 | ESPORTE | 8 | 1 | 0.1250
2025-12-20 | LOJA-SP-02 | MODA | 8 | 1 | 0.1250
2025-12-19 | LOJA-SP-02 | MODA | 8 | 1 | 0.1250
2025-12-19 | LOJA-MG-01 | CASA | 8 | 0 | 0.0000
2025-12-18 | LOJA-MG-01 | CASA | 8 | 0 | 0.0000
2025-12-18 | LOJA-MG-01 | ELETRÔNICOS | 8 | 0 | 0.0000
2025-12-18 | LOJA-MG-01 | ESPORTE | 8 | 0 | 0.0000
2025-12-19 | LOJA-MG-01 | ESPORTE | 8 | 0 | 0.0000
2025-12-21 | LOJA-MG-01 | ESPORTE | 8 | 0 | 0.0000
2025-12-19 | LOJA-MG-01 | MODA | 8 | 0 | 0.0000
2025-12-21 | LOJA-MG-01 | MODA | 8 | 0 | 0.0000
2025-12-18 | LOJA-MG-01 | MODA | 8 | 0 | 0.0000
2025-12-20 | LOJA-MG-01 | MODA | 8 | 0 | 0.0000
2025-12-18 | LOJA-PR-01 | BELEZA | 8 | 0 | 0.0000
2025-12-19 | LOJA-PR-01 | BELEZA | 8 | 0 | 0.0000
2025-12-19 | LOJA-PR-01 | ELETRÔNICOS | 8 | 0 | 0.0000
2025-12-18 | LOJA-PR-01 | ELETRÔNICOS | 8 | 0 | 0.0000
2025-12-19 | LOJA-PR-01 | MODA | 8 | 0 | 0.0000
2025-12-20 | LOJA-PR-01 | MODA | 8 | 0 | 0.0000
2025-12-18 | LOJA-PR-01 | MODA | 8 | 0 | 0.0000
2025-12-24 | LOJA-RJ-01 | BELEZA | 8 | 0 | 0.0000
2025-12-18 | LOJA-RJ-01 | BELEZA | 8 | 0 | 0.0000
2025-12-20 | LOJA-RJ-01 | CASA | 8 | 0 | 0.0000
2025-12-18 | LOJA-RJ-01 | ESPORTE | 8 | 0 | 0.0000
2025-12-19 | LOJA-SP-01 | BELEZA | 8 | 0 | 0.0000
2025-12-18 | LOJA-SP-01 | BELEZA | 8 | 0 | 0.0000
2025-12-19 | LOJA-SP-01 | CASA | 8 | 0 | 0.0000
2025-12-20 | LOJA-SP-01 | CASA | 8 | 0 | 0.0000
2025-12-18 | LOJA-SP-01 | CASA | 8 | 0 | 0.0000
2025-12-19 | LOJA-SP-01 | ELETRÔNICOS | 8 | 0 | 0.0000
2025-12-20 | LOJA-SP-01 | ELETRÔNICOS | 8 | 0 | 0.0000
2025-12-18 | LOJA-SP-01 | ELETRÔNICOS | 8 | 0 | 0.0000
2025-12-18 | LOJA-SP-01 | MODA | 8 | 0 | 0.0000
2025-12-22 | LOJA-SP-01 | MODA | 8 | 0 | 0.0000
2025-12-20 | LOJA-SP-01 | MODA | 8 | 0 | 0.0000
2025-12-19 | LOJA-SP-01 | MODA | 8 | 0 | 0.0000
2025-12-18 | LOJA-SP-02 | BELEZA | 8 | 0 | 0.0000
2025-12-18 | LOJA-SP-02 | CASA | 8 | 0 | 0.0000
2025-12-18 | LOJA-SP-02 | ELETRÔNICOS | 8 | 0 | 0.0000
2025-12-19 | LOJA-SP-02 | ELETRÔNICOS | 8 | 0 | 0.0000
2025-12-18 | LOJA-SP-02 | MODA | 8 | 0 | 0.0000
(350 linhas)
